feature,importance
surface_elo_diff,0.14357781
elo_diff,0.13510369
rank_points_diff,0.055621054
rank_diff,0.04805651
surface_winrate_diff,0.037416916
winrate_diff_last_100,0.025311302
winrate_diff_last_50,0.019308126
is_retirement,0.017933043
best_of,0.016344508
p1_surface_elo,0.016156863
fatigue_diff_30d,0.01613807
winrate_diff_last_25,0.01613382
p1_elo,0.015519074
p2_surface_elo,0.01442414
p2_elo,0.014418429
age_diff,0.012310816
tourney_G,0.012019286
p1_surface_winrate,0.011888281
p2_avg_2ndServeWinPct,0.01088463
p1_winrate_last_100,0.010403018
p2_winrate_last_100,0.010350286
p1_tourney_winrate,0.010271375
p2_tourney_winrate,0.0102607105
p2_surface_winrate,0.0100350715
p1_winrate_last_50,0.009856503
p2_avg_acePct,0.009745652
p2_winrate_last_25,0.009496675
p1_avg_1stServeWinPct,0.009345456
p2_avg_1stServeWinPct,0.0089554945
p1_avg_2ndServeWinPct,0.008922285
winrate_diff_last_10,0.008916589
h2h_p1_wins,0.008915311
h2h_diff,0.008889922
p2_matches_last_30d,0.008742376
tourney_winrate_diff,0.008739345
p2_days_since_last,0.008721469
surface_Grass,0.008630259
p1_avg_acePct,0.008454201
p1_matches_last_30d,0.008388181
p2_winrate_last_10,0.008255337
serve_dfPct_diff,0.008146479
p1_avg_dfPct,0.008124121
p1_winrate_last_25,0.008105338
p1_avg_bpSavedPct,0.008079391
p1_days_since_last,0.007997548
serve_acePct_diff,0.007820519
height_diff,0.0078103584
p2_matches_last_7d,0.0078079286
total_elo,0.0076808245
tourney_A,0.007661848
surface_Clay,0.0076139364
serve_bpSavedPct_diff,0.007612934
fatigue_diff_7d,0.007611977
round_num,0.0075868303
p2_winrate_last_50,0.007562781
p2_avg_dfPct,0.0075331386
tourney_M,0.0073425598
surface_Hard,0.0072906166
p1_winrate_last_10,0.007270136
p2_avg_bpSavedPct,0.0069951694
h2h_p2_wins,0.0067749
p1_matches_last_7d,0.006708754
serve_1stWinPct_diff,0.0
serve_2ndWinPct_diff,0.0
